Azure Red Hat OpenShift Compute Optimized,Red_Hat_OpenShift_Compute_Optimized_v2_4_vCPU,1
Azure Red Hat OpenShift Compute Optimized,Red_Hat_OpenShift_Compute_Optimized_v2_8_vCPU,2
Azure Red Hat OpenShift Compute Optimized,Red_Hat_OpenShift_Compute_Optimized_v2_16_vCPU,4
Azure Red Hat OpenShift Compute Optimized,Red_Hat_OpenShift_Compute_Optimized_v2_32_vCPU,8
Azure Red Hat OpenShift General Purpose,Red_Hat_OpenShift_General_Purpose_v3_4_vCPU,1
Azure Red Hat OpenShift General Purpose,Red_Hat_OpenShift_General_Purpose_v3_8_vCPU,2
Azure Red Hat OpenShift General Purpose,Red_Hat_OpenShift_General_Purpose_v3_16_vCPU,4
Azure Red Hat OpenShift General Purpose,Red_Hat_OpenShift_General_Purpose_v3_32_vCPU,8
Azure Red Hat OpenShift Memory Optimized,Red_Hat_OpenShift_Memory_Optimized_v3_4_vCPU,1
Azure Red Hat OpenShift Memory Optimized,Red_Hat_OpenShift_Memory_Optimized_v3_8_vCPU,2
Azure Red Hat OpenShift Memory Optimized,Red_Hat_OpenShift_Memory_Optimized_v3_16_vCPU,4
Azure Red Hat OpenShift Memory Optimized,Red_Hat_OpenShift_Memory_Optimized_v3_32_vCPU,8
Azure Redis Cache Premium,Azure_Redis_Cache_Premium_P1_Cache,1
Azure Redis Cache Premium,Azure_Redis_Cache_Premium_P2_Cache,2
Azure Redis Cache Premium,Azure_Redis_Cache_Premium_P3_Cache,4
Azure Redis Cache Premium,Azure_Redis_Cache_Premium_P4_Cache,8
Azure Redis Cache Premium,Azure_Redis_Cache_Premium_P5_Cache,18
BS Series,Standard_B1ls,1
BS Series,Standard_B1s,2
BS Series,Standard_B2s,8
BS Series High Memory,Standard_B1ms,1
BS Series High Memory,Standard_B2ms,4
BS Series High Memory,Standard_B4ms,8
BS Series High Memory,Standard_B8ms,16
BS Series High Memory,Standard_B12ms,24
BS Series High Memory,Standard_B16ms,32
BS Series High Memory,Standard_B20ms,40
D Series,Standard_D1,1
D Series,Standard_D2,2
D Series,Standard_D3,4
D Series,Standard_D4,8
D Series High Memory,Standard_D11,1
D Series High Memory,Standard_D12,2
D Series High Memory,Standard_D13,4
D Series High Memory,Standard_D14,8
DCSv2 Series,Standard_DC1s_v2,1
DCSv2 Series,Standard_DC2s_v2,2
DCSv2 Series,Standard_DC4s_v2,4
DCSv2 Series,Standard_DC8_v2,8
DS Series,Standard_DS1,1
DS Series,Standard_DS2,2
DS Series,Standard_DS3,4
DS Series,Standard_DS4,8
DS Series High Memory,Standard_DS11,1
DS Series High Memory,Standard_DS12,2
DS Series High Memory,Standard_DS13,4
DS Series High Memory,Standard_DS14,8
DSv2 Series,Standard_DS1_v2,1
DSv2 Series,Standard_DS2_v2,2
DSv2 Series,Standard_DS3_v2,4
DSv2 Series,Standard_DS4_v2,8
DSv2 Series,Standard_DS5_v2,16
DSv2 Series High Memory,Standard_DS11-1_v2,1
DSv2 Series High Memory,Standard_DS11_v2,1
DSv2 Series High Memory,Standard_DS12-1_v2,2
DSv2 Series High Memory,Standard_DS12-2_v2,2
DSv2 Series High Memory,Standard_DS12_v2,2
DSv2 Series High Memory,Standard_DS13-2_v2,4
DSv2 Series High Memory,Standard_DS13-4_v2,4
DSv2 Series High Memory,Standard_DS13_v2,4
DSv2 Series High Memory,Standard_DS14-8_v2,8
DSv2 Series High Memory,Standard_DS14-4_v2,8
DSv2 Series High Memory,Standard_DS14_v2,8
DSv2 Series High Memory,Standard_DS15_v2,10
DSv2 Series High Memory Isolated,Standard_DS15i_v2,1
DSv3 Series,Standard_D2s_v3,1
DSv3 Series,Standard_D4s_v3,2
DSv3 Series,Standard_D8s_v3,4
DSv3 Series,Standard_D8hs_v3,4
DSv3 Series,Standard_D16s_v3,8
DSv3 Series,Standard_D32s_v3,16
DSv3 Series,Standard_D32-16s_v3,16
DSv3 Series,Standard_D32-8s_v3,16
DSv3 Series,Standard_D48s_v3,24
DSv3 Series,Standard_D64s_v3,32
DSv3 Series,Standard_D64-32s_v3,32
DSv3 Series,Standard_D64-16s_v3,32
DSv3 Series Dedicated Host,Dsv3_Type1,1
DSv3 Series Dedicated Host,Dsv3_Type2,1.1875
DSv3 Series Dedicated Host,Dsv3_Type3,1.25
DSv4 Series Dedicated Host,Dsv4_Type1,1
Dadsv5 Internal Series Linux,Internal_D2ads_v5,1
Dadsv5 Internal Series Linux,Internal_D4ads_v5,2
Dadsv5 Internal Series Linux,Internal_D8ads_v5,4
Dadsv5 Internal Series Linux,Internal_D16ads_v5,8
Dadsv5 Internal Series Linux,Internal_D32ads_v5,16
Dadsv5 Internal Series Linux,Internal_D48ads_v5,24
Dadsv5 Internal Series Linux,Internal_D64ads_v5,32
Dadsv5 Internal Series Linux,Internal_D96ads_v5,48
Dalsv5 Internal Series Linux,Internal_D2als_v5,1
Dalsv5 Internal Series Linux,Internal_D4als_v5,2
Dalsv5 Internal Series Linux,Internal_D8als_v5,4
Dalsv5 Internal Series Linux,Internal_D16als_v5,8
Dalsv5 Internal Series Linux,Internal_D32als_v5,16
Dalsv5 Internal Series Linux,Internal_D48als_v5,24
Dalsv5 Internal Series Linux,Internal_D64als_v5,32
Dalsv5 Internal Series Linux,Internal_D96als_v5,48
Dasv4 Series,Standard_D2as_v4,1
Dasv4 Series,Standard_D4ahs_v4,2
Dasv4 Series,Standard_D4as_v4,2
Dasv4 Series,Standard_D8as_v4,4
Dasv4 Series,Standard_D16as_v4,8
Dasv4 Series,Standard_D32as_v4,16
Dasv4 Series,Standard_D48as_v4,24
Dasv4 Series,Standard_D64as_v4,32
Dasv4 Series,Standard_D96as_v4,48
Dasv4 Series Dedicated Host,Dasv4_Type1,1
Dasv5 Internal Series Linux,Internal_D2as_v5,1
Dasv5 Internal Series Linux,Internal_D4as_v5,2
Dasv5 Internal Series Linux,Internal_D8as_v5,4
Dasv5 Internal Series Linux,Internal_D16as_v5,8
Dasv5 Internal Series Linux,Internal_D32as_v5,16
Dasv5 Internal Series Linux,Internal_D48as_v5,24
Dasv5 Internal Series Linux,Internal_D64as_v5,32
Dasv5 Internal Series Linux,Internal_D96as_v5,48
Dasv5 Promo Series Linux,Standard_D2as_v5_Promo,1
Dasv5 Promo Series Linux,Standard_D4as_v5_Promo,2
Dasv5 Promo Series Linux,Standard_D8as_v5_Promo,4
Dasv5 Promo Series Linux,Standard_D16as_v5_Promo,8
Dasv5 Promo Series Linux,Standard_D32as_v5_Promo,16
Dasv5 Promo Series Linux,Standard_D48as_v5_Promo,24
Dasv5 Promo Series Linux,Standard_D64as_v5_Promo,32
Dasv5 Promo Series Linux,Standard_D96as_v5_Promo,48
Dav4 Series,Standard_D2a_v4,1
Dav4 Series,Standard_D4a_v4,2
Dav4 Series,Standard_D8a_v4,4
Dav4 Series,Standard_D16a_v4,8
Dav4 Series,Standard_D32a_v4,16
Dav4 Series,Standard_D48a_v4,24
Dav4 Series,Standard_D64a_v4,32
Dav4 Series,Standard_D96a_v4,48
Ddsv4 Series,Standard_D2ds_v4,1
Ddsv4 Series,Standard_D4ds_v4,2
Ddsv4 Series,Standard_D8ds_v4,4
Ddsv4 Series,Standard_D16ds_v4,8
Ddsv4 Series,Standard_D32ds_v4,16
Ddsv4 Series,Standard_D48ds_v4,24
Ddsv4 Series,Standard_D64ds_v4,32
Ddsv4 Series Dedicated Host,Ddsv4_Type 1,1
Ddv4 Series,Standard_D2d_v4,1
Ddv4 Series,Standard_D4d_v4,2
Ddv4 Series,Standard_D8d_v4,4
Ddv4 Series,Standard_D16d_v4,8
Ddv4 Series,Standard_D32d_v4,16
