Asia,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/asia,,,asia,,,Other,Asia,Logical,00000000-0000-2222-0000-000000000000
Asia Pacific,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/asiapacific,,,asiapacific,,,Other,Asia Pacific,Logical,00000000-0000-2222-0000-000000000000
Australia,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/australia,,,australia,,,Other,Australia,Logical,00000000-0000-2222-0000-000000000000
Australia Central,Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/australiacentral,-35.3075,149.1244,australiacentral,australiacentral,Canberra,Other,(Asia Pacific) Australia Central,Physical,00000000-0000-2222-0000-000000000000
Australia Central 2,Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/australiacentral2,-35.3075,149.1244,australiacentral2,australiacentral2,Canberra,Other,(Asia Pacific) Australia Central 2,Physical,00000000-0000-2222-0000-000000000000
Australia East,Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/australiaeast,-33.86,151.2094,australiaeast,australiasoutheast,New South Wales,Recommended,(Asia Pacific) Australia East,Physical,00000000-0000-2222-0000-000000000000
Australia Southeast,Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/australiasoutheast,-37.8136,144.9631,australiasoutheast,australiaeast,Victoria,Other,(Asia Pacific) Australia Southeast,Physical,00000000-0000-2222-0000-000000000000
Brazil,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/brazil,,,brazil,,,Other,Brazil,Logical,00000000-0000-2222-0000-000000000000
Brazil South,South America,/subscriptions/00000000-0000-2222-0000-000000000000/locations/brazilsouth,-23.55,-46.633,brazilsouth,southcentralus,Sao Paulo State,Recommended,(South America) Brazil South,Physical,00000000-0000-2222-0000-000000000000
Brazil Southeast,South America,/subscriptions/00000000-0000-2222-0000-000000000000/locations/brazilsoutheast,-22.90278,-43.2075,brazilsoutheast,brazilsouth,Rio,Other,(South America) Brazil Southeast,Physical,00000000-0000-2222-0000-000000000000
Canada,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/canada,,,canada,,,Other,Canada,Logical,00000000-0000-2222-0000-000000000000
Canada Central,Canada,/subscriptions/00000000-0000-2222-0000-000000000000/locations/canadacentral,43.653,-79.383,canadacentral,canadaeast,Toronto,Recommended,(Canada) Canada Central,Physical,00000000-0000-2222-0000-000000000000
Canada East,Canada,/subscriptions/00000000-0000-2222-0000-000000000000/locations/canadaeast,46.817,-71.217,canadaeast,canadacentral,Quebec,Other,(Canada) Canada East,Physical,00000000-0000-2222-0000-000000000000
Central India,Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/centralindia,18.5822,73.9197,centralindia,southindia,Pune,Recommended,(Asia Pacific) Central India,Physical,00000000-0000-2222-0000-000000000000
Central US,US,/subscriptions/00000000-0000-2222-0000-000000000000/locations/centralus,41.5908,-93.6208,centralus,eastus2,Iowa,Recommended,(US) Central US,Physical,00000000-0000-2222-0000-000000000000
Central US (Stage),US,/subscriptions/00000000-0000-2222-0000-000000000000/locations/centralusstage,,,centralusstage,,,Other,(US) Central US (Stage),Logical,00000000-0000-2222-0000-000000000000
Central US EUAP,US,/subscriptions/00000000-0000-2222-0000-000000000000/locations/centraluseuap,41.5908,-93.6208,centraluseuap,eastus2euap,,Other,(US) Central US EUAP,Physical,00000000-0000-2222-0000-000000000000
East Asia,Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/eastasia,22.267,114.188,eastasia,southeastasia,Hong Kong,Recommended,(Asia Pacific) East Asia,Physical,00000000-0000-2222-0000-000000000000
