Region,Type,Performance Tier,Storage Account Type,Access Tier,Redundancy,Capacity TB,Reservation,Write Operation,List and Create Ops,Read Ops,Data Retrieval, Monthly Cost 
East US,Block Blob Storage,Standard,General Purpose V1,Hot,LRS,50,0,1000000,1000000,1000000,1000,1075
East US,Block Blob Storage,Standard,General Purpose V1,Hot,LRS,100,0,1000000,1000000,1000000,1000,2097
East US,Block Blob Storage,Standard,General Purpose V1,Hot,LRS,200,0,1000000,1000000,1000000,1000,4142
East US,Block Blob Storage,Standard,General Purpose V1,Hot,LRS,400,0,1000000,1000000,1000000,1000,8231
East US,Block Blob Storage,Standard,General Purpose V1,Hot,LRS,800,0,1000000,1000000,1000000,1000,16155
East US,Block Blob Storage,Standard,General Purpose V1,Hot,ZRS,50,0,1000000,1000000,1000000,1000,1344
East US,Block Blob Storage,Standard,General Purpose V1,Hot,ZRS,100,0,1000000,1000000,1000000,1000,2622
East US,Block Blob Storage,Standard,General Purpose V1,Hot,ZRS,200,0,1000000,1000000,1000000,1000,5177
East US,Block Blob Storage,Standard,General Purpose V1,Hot,ZRS,400,0,1000000,1000000,1000000,1000,10289
East US,Block Blob Storage,Standard,General Purpose V1,Hot,ZRS,800,0,1000000,1000000,1000000,1000,20193
East US,Block Blob Storage,Standard,General Purpose V1,Hot,GRS,50,0,1000000,1000000,1000000,1000,2385
East US,Block Blob Storage,Standard,General Purpose V1,Hot,GRS,100,0,1000000,1000000,1000000,1000,4636
East US,Block Blob Storage,Standard,General Purpose V1,Hot,GRS,200,0,1000000,1000000,1000000,1000,9139
East US,Block Blob Storage,Standard,General Purpose V1,Hot,GRS,400,0,1000000,1000000,1000000,1000,18143
East US,Block Blob Storage,Standard,General Purpose V1,Hot,GRS,800,0,1000000,1000000,1000000,1000,35590
East US,Block Blob Storage,Standard,General Purpose V1,Hot,RA-GRS,50,0,1000000,1000000,1000000,1000,3056
East US,Block Blob Storage,Standard,General Purpose V1,Hot,RA-GRS,100,0,1000000,1000000,1000000,1000,5951
East US,Block Blob Storage,Standard,General Purpose V1,Hot,RA-GRS,200,0,1000000,1000000,1000000,1000,11741
East US,Block Blob Storage,Standard,General Purpose V1,Hot,RA-GRS,400,0,1000000,1000000,1000000,1000,23321
East US,Block Blob Storage,Standard,General Purpose V1,Hot,RA-GRS,800,0,1000000,1000000,1000000,1000,45758
East US 2,Block Blob Storage,Standard,General Purpose V1,Hot,GZRS,50,0,1000000,1000000,1000000,1000,2162
East US 2,Block Blob Storage,Standard,General Purpose V1,Hot,GZRS,100,0,1000000,1000000,1000000,1000,4197
East US 2,Block Blob Storage,Standard,General Purpose V1,Hot,GZRS,200,0,1000000,1000000,1000000,1000,8267
