Asia,,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/asia,,,asia,,,Other,Asia,Logical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Asia Pacific,,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/asiapacific,,,asiapacific,,,Other,Asia Pacific,Logical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Australia,,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/australia,,,australia,,,Other,Australia,Logical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Australia Central,Asia Pacific,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/australiacentral,-35.3075,149.1244,australiacentral,australiacentral,Canberra,Other,(Asia Pacific) Australia Central,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Australia Central 2,Asia Pacific,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/australiacentral2,-35.3075,149.1244,australiacentral2,australiacentral2,Canberra,Other,(Asia Pacific) Australia Central 2,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Australia East,Asia Pacific,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/australiaeast,-33.86,151.2094,australiaeast,australiasoutheast,New South Wales,Recommended,(Asia Pacific) Australia East,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Australia Southeast,Asia Pacific,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/australiasoutheast,-37.8136,144.9631,australiasoutheast,australiaeast,Victoria,Other,(Asia Pacific) Australia Southeast,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Brazil,,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/brazil,,,brazil,,,Other,Brazil,Logical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Brazil South,South America,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/brazilsouth,-23.55,-46.633,brazilsouth,southcentralus,Sao Paulo State,Recommended,(South America) Brazil South,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Brazil Southeast,South America,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/brazilsoutheast,-22.90278,-43.2075,brazilsoutheast,brazilsouth,Rio,Other,(South America) Brazil Southeast,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Canada,,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/canada,,,canada,,,Other,Canada,Logical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Canada Central,Canada,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/canadacentral,43.653,-79.383,canadacentral,canadaeast,Toronto,Recommended,(Canada) Canada Central,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Canada East,Canada,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/canadaeast,46.817,-71.217,canadaeast,canadacentral,Quebec,Other,(Canada) Canada East,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Central India,Asia Pacific,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/centralindia,18.5822,73.9197,centralindia,southindia,Pune,Recommended,(Asia Pacific) Central India,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Central US,US,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/centralus,41.5908,-93.6208,centralus,eastus2,Iowa,Recommended,(US) Central US,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Central US (Stage),US,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/centralusstage,,,centralusstage,,,Other,(US) Central US (Stage),Logical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Central US EUAP,US,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/centraluseuap,41.5908,-93.6208,centraluseuap,eastus2euap,,Other,(US) Central US EUAP,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
East Asia,Asia Pacific,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/eastasia,22.267,114.188,eastasia,southeastasia,Hong Kong,Recommended,(Asia Pacific) East Asia,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
East Asia (Stage),Asia Pacific,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/eastasiastage,,,eastasiastage,,,Other,(Asia Pacific) East Asia (Stage),Logical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
East US,US,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/eastus,37.3719,-79.8164,eastus,westus,Virginia,Recommended,(US) East US,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
East US (Stage),US,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/eastusstage,,,eastusstage,,,Other,(US) East US (Stage),Logical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
East US 2,US,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/eastus2,36.6681,-78.3889,eastus2,centralus,Virginia,Recommended,(US) East US 2,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
East US 2 (Stage),US,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/eastus2stage,,,eastus2stage,,,Other,(US) East US 2 (Stage),Logical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
East US 2 EUAP,US,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/eastus2euap,36.6681,-78.3889,eastus2euap,centraluseuap,,Other,(US) East US 2 EUAP,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Europe,,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/europe,,,europe,,,Other,Europe,Logical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
France,,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/france,,,france,,,Other,France,Logical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
France Central,Europe,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/francecentral,46.3772,2.373,francecentral,francesouth,Paris,Recommended,(Europe) France Central,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
France South,Europe,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/francesouth,43.8345,2.1972,francesouth,francecentral,Marseille,Other,(Europe) France South,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Germany,,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/germany,,,germany,,,Other,Germany,Logical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
Germany North,Europe,/subscriptions/cd3b4810-bb97-4f99-9eaa-20c547ee30cb/locations/germanynorth,53.073635,8.806422,germanynorth,germanywestcentral,Berlin,Other,(Europe) Germany North,Physical,cd3b4810-bb97-4f99-9eaa-20c547ee30cb
